Name in English,Degree of endangerment,Number of speakers,Latitude,Longitude,Dummy
Seward Peninsula Inupiaq (King Island),Critically endangered,2144,64.9728,-168.0616,1
Seward Peninsula Inupiaq (Little Diomede Island),Critically endangered,2144,65.755,-168.9167,1
Seward Peninsula Inupiaq (Norton Sound),Critically endangered,2144,64.5433,-163.029,1
Katukína-Kanamarí,Vulnerable,2100,-5.6159,-68.7304,1
Tiwi,Vulnerable,2100,-11.6091,130.8911,1
Zaozou,Vulnerable,2100,26.1554,99.2944,1
Ngäbere (Costa Rica),Definitely endangered,2041,8.4723,-82.9907,1
Aiton,Severely endangered,2000,26.6523,94.2901,1
Anindilyakwa,Vulnerable,2000,-13.9987,136.582,1
Apurinã,Definitely endangered,2000,-5.4847,-63.8964,1
Arrernte,Vulnerable,2000,-24.1668,132.0996,1
Ashkun,Definitely endangered,2000,34.9973,71.0746,1
Ata,Critically endangered,2000,9.6081,122.9155,1
Athpahariya,Definitely endangered,2000,26.952,87.3399,1
Ava-Guaraní,Definitely endangered,2000,-23.1403,-64.3359,1
Bayso,Definitely endangered,2000,6.4081,37.749,1
Birhor,Critically endangered,2000,21.7594,85.935,1
Boano,Vulnerable,2000,0.4724,120.9979,1
Bori,Definitely endangered,2000,28.9889,94.4439,1
Chepya,Definitely endangered,2000,21.3833,101.8166,1
Chilisso,Severely endangered,2000,35.2136,73.2396,1
Culina (Brazil),Vulnerable,2000,-7.1008,-68.7744,1
Damana,Definitely endangered,2000,10.9196,-73.4985,1
Duguza,Definitely endangered,2000,9.9039,9.1186,1
Galibi Marworno,Vulnerable,2000,3.4256,-52.0312,1
Gats'ama - Ganjule - Harro,Definitely endangered,2000,5.9548,37.5292,1
Gebe,Vulnerable,2000,-0.1922,129.5397,1
Ghadames,Vulnerable,2000,30.1166,9.5251,1
Griko (Calabria),Severely endangered,2000,37.9961,15.9329,1
Huilliche,Critically endangered,2000,-40.4803,-73.5424,1
Ik,Severely endangered,2000,3.5024,34.1894,1
Jangshung,Definitely endangered,2000,31.7748,78.4753,1
Jero,Vulnerable,2000,27.2241,86.3909,1
Kari'ña (French Guyana),Definitely endangered,2000,5.5066,-53.6572,1
Khamnigan Mongol,Definitely endangered,2000,50.3454,114.1094,1
Kona,Severely endangered,2000,9.0587,11.2829,1
Koreguaje,Definitely endangered,2000,1,-75,1
Koryak,Severely endangered,2000,61.8561,168.6621,1
Kota,Critically endangered,2000,11.4154,76.8576,1
Logorik,Critically endangered,2000,11.1433,29.8306,1
Lule Saami,Severely endangered,2000,67.272,17.7978,1
Luro,Critically endangered,2000,7.915,93.3837,1
Mambai,Severely endangered,2000,9.6007,14.0899,1
Milang,Definitely endangered,2000,28.488,95.2954,1
Mocoví,Definitely endangered,2000,-27.6056,-59.7656,1
Momuna,Vulnerable,2000,-5,139,1
Mpi,Definitely endangered,2000,18.2554,100.2227,1
Muda,Vulnerable,2000,21.8421,100.6851,1
Munji,Severely endangered,2000,36.0379,70.6723,1
Nguon,Vulnerable,2000,17.5333,105.3833,1
Nheengatu / Yeral (Venezuela),Severely endangered,2000,1.2303,-66.8408,1
Nihali,Critically endangered,2000,20.5402,76.0913,1
Nyishangba,Definitely endangered,2000,28.6423,84.1017,1
Ottawa (Walpole Island),Severely endangered,2000,42.6068,-82.5195,1
Prasun,Definitely endangered,2000,35.3543,71.26,1
Rukai,Vulnerable,2000,22.792,120.8104,1
Sáliba,Severely endangered,2000,5.3097,-69.873,1
Sangkong,Vulnerable,2000,21.5158,100.6957,1
Sarwa,Definitely endangered,2000,10.5958,17.0397,1
Shoshoni (Idaho),Severely endangered,2000,43.0438,-112.4629,1
Shoshoni (Nevada),Severely endangered,2000,40.0358,-113.9835,1
Shoshoni (Wyoming),Severely endangered,2000,43.014,-108.8209,1
Tai Phake,Severely endangered,2000,27.5033,95.2185,1
Tamazight (Arzew),Critically endangered,2000,35.5869,-0.4737,1
Tanglang,Vulnerable,2000,26.0863,99.7119,1
Tchitchege,Definitely endangered,2000,-1.8508,13.612,1
Tinan,Definitely endangered,2000,32.519,77.6733,1
Tsafiki,Definitely endangered,2000,-0.25,-79.15,1
Ukhwejo,Severely endangered,2000,3.3626,16.0565,1
Urarina,Vulnerable,2000,-4.3464,-75.3002,1
Ushojo,Definitely endangered,2000,35.0209,72.897,1
Waigali,Definitely endangered,2000,35.1895,71.1941,1
Waotededo,Vulnerable,2000,-1.1864,-76.6296,1
Wotapuri-Katarqalai,Definitely endangered,2000,34.4166,70.3333,1
Wutun,Definitely endangered,2000,35.791,102.4365,1
Candoshi,Definitely endangered,1900,-3.7107,-76.9042,1
Hupda (Brazil),Vulnerable,1900,0.7909,-68.247,1
Mixtec of the central Ravine,Definitely endangered,1878,17.9666,-96.8333,1
Kendeje,Definitely endangered,1859,13.6299,21.5771,1
Hunzib,Definitely endangered,1839,42.1654,46.2991,1
Tchumbuli,Critically endangered,1838,8.7113,2.1533,1
Cashibo-Cacataibo,Definitely endangered,1800,-8.9393,-75.0915,1
Grass Koiari,Vulnerable,1800,-9.4558,147.5559,1
Isirawa,Vulnerable,1800,-1.8783,138.5485,1
Lanoh,Critically endangered,1800,5.2509,101.0206,1
Lemolang,Vulnerable,1800,-2.6303,120.1849,1
Nila (Seram Island),Definitely endangered,1800,-3.2173,128.9849,1
Shixing,Definitely endangered,1800,28.5263,100.4734,1
Chuj (Mexico),Critically endangered,1771,16.1203,-92.0407,1
Darma,Definitely endangered,1761,30.0037,80.5641,1
Kung,Severely endangered,1750,6.5227,10.1074,1
Lokono (Guyana),Critically endangered,1750,6.2934,-58.0957,1
Byangsi,Definitely endangered,1734,30.0595,80.7824,1
Pasing,Definitely endangered,1732,21.1254,101.4697,1
Yamphu,Definitely endangered,1722,27.5935,87.3316,1
Andio,Vulnerable,1700,-0.8514,123.1457,1
Cheyenne (Montana),Definitely endangered,1700,45.5495,-106.5263,1
Kumzari,Severely endangered,1700,26.1936,56.2431,1
Quechua of Yauyos,Critically endangered,1700,-12.9081,-75.6958,1
Bainouk-Samik,Severely endangered,1685,12.5733,-16.2652,1
Côông,Definitely endangered,1676,22.5943,102.7455,1
Dogrib,Vulnerable,1675,62.8292,-115.9904,1
Upland Yuman,Vulnerable,1650,36.2377,-112.7094,1
Eastern Cuicatec,Vulnerable,1641,17.9666,-96.7166,1
Tamazight (Ait Rouadi),Extinct,1637,32.5745,-5.9655,1
Woleaian,Severely endangered,1631,7.3515,143.8769,1
Huehuetla Tepehua,Definitely endangered,1603,20.46,-98.0761,1
Kadiwéu,Definitely endangered,1600,-20.5222,-56.7237,1
Southern Tiwa (Isleta Pueblo),Definitely endangered,1600,34.9057,-106.7066,1
Southern Tiwa (Sandia Pueblo),Definitely endangered,1600,35.2516,-106.565,1
Tewa (Arizona),Definitely endangered,1600,35.8334,-110.3798,1
Tewa (New Mexico),Severely endangered,1600,36.053,-106.0708,1
ǁGana,Vulnerable,1550,-21.7824,21.8971,1
Akwáwa,Vulnerable,1548,-5.2441,-52.7014,1
Northern Cuicatec,Vulnerable,1503,17.9511,-96.7384,1
Chiquihuitlán Mazatec,Definitely endangered,1502,17.9953,-96.7449,1
Apinajé,Vulnerable,1500,-6.0317,-47.5604,1
Bashkarik,Severely endangered,1500,35.2893,72.6168,1
Chintang,Severely endangered,1500,26.9367,87.1991,1
Forest Nenets,Severely endangered,1500,64.9188,77.7941,1
Hupda (Colombia),Definitely endangered,1500,0.3845,-70.1367,1
Jah Hut,Severely endangered,1500,3.6452,102.3065,1
Jeri,Severely endangered,1500,9.2647,-5.8666,1
Jonkor Bourmataguil,Severely endangered,1500,11.4261,19.0145,1
K'emant,Severely endangered,1500,12.9349,37.2326,1
Kanashi,Definitely endangered,1500,32.0406,77.1075,1
Karajá,Vulnerable,1500,-11.0921,-50.3393,1
Karelian (Tikhvin),Severely endangered,1500,59.601,33.3544,1
Kendem,Severely endangered,1500,5.7061,9.6377,1
Khamba,Definitely endangered,1500,29.0105,94.7653,1
Lishpa,Definitely endangered,1500,27.3327,92.384,1
Mayoruna (Brazil),Vulnerable,1500,-3.3379,-64.8413,1
Mescalero-Chiricahua Apache (New Mexico),Definitely endangered,1500,33.1514,-105.7942,1
Numao Bunu,Definitely endangered,1500,24.3902,107.2701,1
Orang Seletar,Severely endangered,1500,1.3387,103.464,1
Palenque Creole,Definitely endangered,1500,10.0952,-75.1142,1
Pong,Definitely endangered,1500,18.4666,105.05,1
Pyuma,Vulnerable,1500,22.8027,121.0748,1
Saaroa,Critically endangered,1500,23.1283,120.7062,1
Saluan,Vulnerable,1500,-0.8129,122.871,1
Semaq Beri,Critically endangered,1500,4.2012,102.8443,1
Talodi,Critically endangered,1500,10.6902,30.3964,1
Wayana (Suriname),Vulnerable,1500,2.7455,-54.58,1
Wik Mungkan,Vulnerable,1500,-12.9403,141.9873,1
Natsilingmiutut,Vulnerable,1455,68.643,-95.8863,1
Movima,Severely endangered,1452,-13.7954,-65.4345,1
Ngombe,Definitely endangered,1450,3.9492,15.2352,1
Cinta Larga,Vulnerable,1440,-11.4154,-59.7216,1
Dupaninan Agta,Vulnerable,1400,17.9682,122.0361,1
Tese,Critically endangered,1400,11.2161,29.8471,1
Bororo,Definitely endangered,1390,-15.5172,-53.1024,1
Puluwat,Severely endangered,1364,7.5803,149.425,1
Kanela Rankokamekra,Vulnerable,1337,-6.075,-44.9121,1
Saba,Definitely endangered,1335,11.1487,18.0175,1
Kurripako (Brazil),Vulnerable,1332,0.7001,-68.3789,1
Triw,Definitely endangered,1328,15.6833,107.2,1
Guernsey French,Severely endangered,1327,49.4502,-2.5927,1
Paafang,Severely endangered,1318,7.6198,155.1571,1
Chɨlɨng,Definitely endangered,1314,26.9483,87.2527,1
Zapotec of the Valleys north,Severely endangered,1303,17.0666,-96.65,1
Cypriot Arabic,Severely endangered,1300,35.3196,33.338,1
Palikur (Brazil),Vulnerable,1300,4.0396,-51.7236,1
Sanenyo,Critically endangered,1300,7.9504,93.576,1
Tecóatl Mazatec,Vulnerable,1300,18.1653,-96.9124,1
Xinka,Critically endangered,1283,14.3447,-90.2603,1
Ozomatlán Totonac,Critically endangered,1276,20.1766,-98.0527,1
Kāgate,Definitely endangered,1273,27.5449,86.2925,1
Maxakali,Vulnerable,1271,-16.5519,-40.3417,1
Murik,Vulnerable,1256,-3.8368,144.2807,1
Pengo,Critically endangered,1254,19.0621,83.4851,1
Marúbo,Vulnerable,1252,-6.0968,-70.2246,1
Aivilingmiutut,Vulnerable,1245,64.1657,-83.243,1
Besme,Severely endangered,1228,9.6386,16.018,1
Oirata,Definitely endangered,1221,-8.0755,127.1777,1
Lohorung,Severely endangered,1207,27.4266,87.2498,1
Harakmbut,Definitely endangered,1206,-12.9403,-70.2685,1
Buyang,Severely endangered,1200,23.4146,105.7632,1
Dakka,Vulnerable,1200,-3.316,119.2071,1
Mah Meri,Severely endangered,1200,2.836,101.4299,1
Manjui,Definitely endangered,1200,-23.1201,-62.7539,1
Te'un (Seram Island),Definitely endangered,1200,-3.1843,128.9465,1
Tsou,Vulnerable,1200,23.5174,120.8564,1
Ujir,Definitely endangered,1200,-5.6105,134.2776,1
White Gelao (China),Severely endangered,1200,26.4894,105.021,1
Dakkang,Definitely endangered,1198,15.6333,107.25,1
Northern Algonquin,Vulnerable,1180,48.0616,-77.3521,1
Akawaio (Brazil),Vulnerable,1170,4.1711,-60.249,1
Huehuetlán Mazatec,Vulnerable,1169,18.1964,-96.9471,1
Trio (Brazil),Vulnerable,1156,1.7136,-55.2392,1
Savo,Definitely endangered,1147,-9.1292,159.8071,1
Tektitek,Definitely endangered,1144,15.3073,-92.0609,1
Fwâi,Vulnerable,1131,-20.7048,164.9034,1
Waimirí-Atroarí,Vulnerable,1120,-1.0985,-60.8203,1
Guayabero,Definitely endangered,1118,2.6028,-72.3999,1
Fagauvea (Northern),Vulnerable,1107,-20.4089,166.5444,1
Fagauvea (Southern),Vulnerable,1107,-20.7381,166.4126,1
Fania,Severely endangered,1100,10.0581,18.3993,1
Ubi,Severely endangered,1100,12.1534,18.6946,1
Warnang,Severely endangered,1100,10.6538,30.6298,1
Itzá,Critically endangered,1094,16.9838,-89.899,1
Mixtec of the southwest of Puebla,Definitely endangered,1074,18.6333,-98.0666,1
Lowland Chontal,Critically endangered,1060,16.0286,-95.6683,1
Koireng,Critically endangered,1056,24.2319,93.7463,1
Chipaya,Definitely endangered,1050,-19.2074,-68.2031,1
Mokilese,Critically endangered,1050,6.6864,159.7631,1
Western Náhuatl,Severely endangered,1041,18.3745,-103.3026,1
Acatepec Mazatec,Vulnerable,1038,18.1621,-96.8766,1
Mixtec of Villa de Tututepec,Definitely endangered,1019,16.1333,-97.6,1
Toda,Critically endangered,1006,11.3184,76.8273,1
Adabe,Vulnerable,1000,-8.2549,125.5737,1
Alutor,Severely endangered,1000,60.2016,165.4238,1
Arapaho (Wyoming),Severely endangered,1000,43.0139,-108.8214,1
Beeke,Severely endangered,1000,0.9997,28.7951,1
Blackfoot (United States of America),Definitely endangered,1000,48.5699,-113.0918,1
Bohtan Neo-Aramaic,Severely endangered,1000,41.5579,45.0219,1
Bola,Definitely endangered,1000,25.0638,98.2414,1
Bong'om,Definitely endangered,1000,1.1315,35.0134,1
Bora,Vulnerable,1000,-2.7455,-71.8835,1
Central Siberian Yupik (St. Lawrence Island),Definitely endangered,1000,63.7444,-171.7242,1
Chali,Definitely endangered,1000,27.301,91.2991,1
Cherokee (North Carolina),Severely endangered,1000,35.113,-84.0588,1
Cocama-Cocamilla (Peru),Severely endangered,1000,-4.8282,-74.2565,1
Dair,Severely endangered,1000,12.517,30.5914,1
Dakpa,Definitely endangered,1000,27.3937,91.8965,1
Dampelas,Definitely endangered,1000,0.2005,119.8965,1
Danaw,Critically endangered,1000,21.192,97.3937,1
Ega,Severely endangered,1000,5.8018,-5.4492,1
El Hugeirat,Severely endangered,1000,12.3131,28.4243,1
Faghani,Vulnerable,1000,-10.4337,161.5979,1
Fongoro,Severely endangered,1000,11.1029,22.7197,1
Gambiri,Severely endangered,1000,34.9017,70.9085,1
Gongduk,Vulnerable,1000,27.086,91.2002,1
Gorap,Definitely endangered,1000,2.1528,128.2516,1
Guugu Yimidhirr,Vulnerable,1000,-14.8598,144.7338,1
Gyem,Critically endangered,1000,10.3865,9.3122,1
Habu,Vulnerable,1000,-8.7819,126.0021,1
Hawaiian,Critically endangered,1000,21.9226,-160.1147,1
Hértevin,Critically endangered,1000,37.9268,42.5473,1
Hu,Definitely endangered,1000,22.1743,100.9264,1
Hualapai,Vulnerable,1000,35.5279,-113.4297,1
Hung,Definitely endangered,1000,18.9062,105.05,1
Inkhokvari,Definitely endangered,1000,42.3981,46.0299,1
Ishkashimi,Severely endangered,1000,36.6915,71.7668,1
Iyive,Severely endangered,1000,6.4354,9.5278,1
Jiongnai Bunu,Definitely endangered,1000,23.3902,108.5135,1
Kaande,Severely endangered,1000,-0.1318,11.8103,1
Kaco',Definitely endangered,1000,13.934,107.4222,1
Kadu,Severely endangered,1000,24.2042,95.6332,1
Kairui-Midiki,Vulnerable,1000,-8.7222,126.2878,1
Kari,Severely endangered,1000,4.8392,25.5432,1
Kayabi,Vulnerable,1000,-11.1972,-53.2342,1
Khowa,Definitely endangered,1000,27.2546,92.5323,1
Kodeoha,Vulnerable,1000,-3.4147,120.9155,1
Kujarge,Definitely endangered,1000,11.749,22.2431,1
Kukatja,Vulnerable,1000,-21.2074,126.4746,1
Kuot,Vulnerable,1000,-3.0692,151.5234,1
Lokono (Suriname),Severely endangered,1000,5.6487,-55.1074,1
Mahongwe,Severely endangered,1000,1.0216,13.9031,1
Manchurian Ölöt,Severely endangered,1000,48.1953,124.2993,1
May,Definitely endangered,1000,18.0623,105.5786,1
Mbara,Severely endangered,1000,10.8009,15.6335,1
Mech,Severely endangered,1000,26.5688,89.1979,1
Mòcheno,Definitely endangered,1000,46.1194,11.3258,1
Naueti,Vulnerable,1000,-8.7357,126.7053,1
North Greenlandic,Definitely endangered,1000,77.4815,-69.3511,1
Ormuri,Definitely endangered,1000,32.518,69.783,1
Paiter,Vulnerable,1000,-11.1245,-61.3476,1
Pareci,Definitely endangered,1000,-14.3525,-58.0174,1
Pasi,Definitely endangered,1000,28.1834,95.2651,1
Resian,Definitely endangered,1000,46.3734,13.3058,1
Sach,Definitely endangered,1000,17.78,105.7666,1
Sake,Severely endangered,1000,-0.0247,11.7691,1
Saterlandic,Severely endangered,1000,53.1059,7.6787,1
She,Critically endangered,1000,23.3333,115.2459,1
Shumashti,Severely endangered,1000,34.6108,70.7569,1
Sighu,Severely endangered,1000,-0.0549,13.5461,1
Sobei,Definitely endangered,1000,-1.8632,138.7408,1
Thavung (Laos),Definitely endangered,1000,18.4666,104.6666,1
Tirma,Critically endangered,1000,6.4899,34.3212,1
Tombelala,Vulnerable,1000,-2.5315,121.9454,1
Toto,Critically endangered,1000,26.6867,89.5056,1
Trio (Suriname),Vulnerable,1000,2.1528,-56.3818,1
Tum,Definitely endangered,1000,18.7,105.05,1
Tuotomb,Severely endangered,1000,4.4449,10.371,1
Yatê,Severely endangered,1000,-7.0136,-37.0458,1
Zaiwa,Definitely endangered,1000,28.4735,96.4764,1
Zay,Severely endangered,1000,8.0728,38.8476,1
Zenaga (Western Sahara),Critically endangered,1000,22.2687,-13.7109,1
|Gui,Vulnerable,1000,-21.8385,21.7858,1
ǁAni,Definitely endangered,1000,-18.6462,22.1319,1
Buglé,Definitely endangered,993,8.5858,-82.3856,1
Ka'apór,Vulnerable,991,-2.8991,-46.3183,1
Hadza,Vulnerable,975,-3.401,35.3897,1
Kunwinjku,Vulnerable,974,-12.1333,133.4014,1
Bakairi,Vulnerable,950,-14.4213,-54.0305,1
Drubea,Vulnerable,946,-22.0347,166.5527,1
Namonuito,Severely endangered,944,8.6299,150.0128,1
Hya,Severely endangered,940,10.3311,13.5269,1
Machineri (Brazil),Vulnerable,937,-10.5742,-70.4882,1
South Slavey,Definitely endangered,920,61.8154,-121.3346,1
Wajãpi,Vulnerable,905,0.747,-52.8442,1
Mewahang,Severely endangered,904,27.5441,87.1401,1
Awapit,Severely endangered,900,1.0985,-78.706,1
Chimila,Severely endangered,900,10.0986,-73.894,1
Kua,Definitely endangered,900,-22.7106,26.4605,1
Njalgulgule,Severely endangered,900,8.4452,25.3015,1
Pech,Severely endangered,900,15.0819,-85.5552,1
Rikbaktsa,Severely endangered,900,-10.6174,-58.2714,1
Caac,Vulnerable,890,-20.3883,164.5614,1
Inuinnaqtun,Definitely endangered,890,67.8443,-115.2742,1
Voh-Koné dialects,Definitely endangered,878,-20.9665,164.7866,1
Kuna (Colombia),Severely endangered,876,7.8633,-76.9042,1
Dení,Vulnerable,875,-6.5773,-68.1591,1
Tarao,Critically endangered,870,24.297,93.4497,1
Santa María del Mar Huave,Severely endangered,862,16.2166,-94.85,1
Nukuoro,Definitely endangered,860,3.8574,154.9786,1
Mixtec of Santa Cruz Itundujia,Definitely endangered,851,16.7666,-97.6,1
"Zapotec of the Southern mountains, northeast",Definitely endangered,849,16.2666,-96.2833,1
Kumak,Vulnerable,847,-20.1278,164.0259,1
Pukapukan,Definitely endangered,840,-10.871,-165.8441,1
Lola,Vulnerable,830,-6.3316,134.8818,1
Ashaninka (Brazil),Vulnerable,813,-9.3786,-73.1414,1
Ottawa (Canada),Severely endangered,810,46.1519,-82.2243,1
Bati,Severely endangered,800,4.2012,10.7858,1
Chorote Iyojwa'ja,Severely endangered,800,-24.287,-60.3808,1
Eman,Severely endangered,800,6.0531,9.7338,1
Isu,Severely endangered,800,4.1994,9.5745,1
Jamamadí,Vulnerable,800,-9.0424,-68.3789,1
Javaé,Definitely endangered,800,-11.1568,-50.4711,1
Nubaca,Severely endangered,800,4.2971,10.7446,1
Panasuan,Definitely endangered,800,-2.2516,119.5806,1
Piaroa (Colombia),Definitely endangered,800,4,-68.6666,1
Taos,Definitely endangered,800,36.4717,-105.5596,1
Taulil,Vulnerable,800,-4.5435,152.0397,1
Tuyuca (Brazil),Vulnerable,800,0.4394,-66.8847,1
Kaike,Definitely endangered,794,28.9642,82.9819,1
Kildin Saami,Severely endangered,787,68.0075,35.0079,1
Ese eja,Definitely endangered,782,-12.5867,-69.0161,1
Central Cagayan Agta,Vulnerable,779,17.9891,121.8603,1
Mixtec of Santa Inés de Zaragoza,Definitely endangered,775,17.2333,-97.1666,1
Ocopetatillo Mazatec,Vulnerable,757,18.1856,-96.9113,1
Jaqaru,Severely endangered,750,-12.7488,-75.8248,1
Waiwai (Suriname),Critically endangered,750,2.1528,-56.206,1
Laal,Critically endangered,749,9.9607,17.6083,1
Ulcha,Critically endangered,732,52.0457,140.4162,1
Jawe,Vulnerable,729,-20.4913,164.696,1
Maslam,Severely endangered,723,12.136,14.6914,1
Nambiquara do Sul,Vulnerable,721,-13.2506,-59.5404,1
North Slavey,Definitely endangered,720,65.2161,-123.4362,1
Gitksan,Severely endangered,710,55.355,-127.6828,1
A'ingae / Cofan (Ecuador),Definitely endangered,700,0.0659,-76.7065,1
Animere,Critically endangered,700,7.6129,0.4064,1
Batek,Critically endangered,700,4.6695,102.5051,1
Enggano,Vulnerable,700,-5.4191,102.2717,1
Indri,Severely endangered,700,8.4397,25.5926,1
Kalaw Lagaw Ya,Definitely endangered,700,-10.0828,142.1081,1
Lakon,Vulnerable,700,-14.251,167.422,1
Mok (China),Definitely endangered,700,21.5158,100.221,1
Ngaanyatjarra,Vulnerable,700,-26.037,124.541,1
Ngatikese Men's Creole,Definitely endangered,700,5.8305,157.2308,1
Piratapuya (Brazil),Severely endangered,700,0.5712,-66.7089,1
Mountain Guarijío,Vulnerable,696,27.8758,-108.553,1
Nivkh (Sakhalin),Severely endangered,688,51.7814,143.1628,1
Krikati,Vulnerable,682,-5.8674,-46.7468,1
Dakota,Definitely endangered,675,49.8461,-100.5035,1
Carrier,Severely endangered,660,54.2395,-125.7621,1
Matlatzinca,Definitely endangered,651,19.0479,-100.2197,1
Kasanga,Critically endangered,650,12.2702,-16.1553,1
Wanano / Kotiria (Brazil),Vulnerable,650,0.6152,-67.5,1
Central Popoloc,Severely endangered,641,18.5842,-97.9295,1
Eastern Ojibwe,Severely endangered,620,44.8381,-80.1983,1
River Guarijío,Vulnerable,617,27.5196,-109.2525,1
Yuhup (Brazil),Vulnerable,617,-1.0546,-69.3896,1
Ocoyoacac Otomí,Severely endangered,609,19.2716,-99.4613,1
Akum,Critically endangered,600,6.73,9.9316,1
Blablanga,Definitely endangered,600,-8.206,159.4638,1
Bubia,Severely endangered,600,4.0204,9.2037,1
Chickasaw,Severely endangered,600,34.6,-96.8161,1
Desano (Brazil),Definitely endangered,600,0.0878,-67.9394,1
Faetar,Definitely endangered,600,41.3265,15.1721,1
Hixkaryána,Vulnerable,600,-0.5493,-58.5131,1
Hoava,Vulnerable,600,-8.1883,157.6036,1
Hodi,Vulnerable,600,6.075,-65.6323,1
Iñapari,Critically endangered,600,-12.0822,-69.7412,1
Koke,Severely endangered,600,10.8575,18.1315,1
Kowiai,Vulnerable,600,-3.9437,134.0881,1
Kuikuro,Vulnerable,600,-12.35,-53.21,1
Laiyolo,Definitely endangered,600,-6.3862,120.4733,1
Mo'da,Critically endangered,600,6.5008,29.9377,1
Northern Selkup,Severely endangered,600,65.7035,82.4441,1
Penrhyn,Severely endangered,600,-9.0153,-158.0218,1
Pintupi,Vulnerable,600,-22.8882,128.3203,1
Piratapuya (Colombia),Critically endangered,600,0.8333,-69.5,1
Siona / Secoya (Ecuador),Severely endangered,600,-0.0659,-76.3989,1
Sonsorol,Severely endangered,600,7.4278,134.5495,1
Teanu,Definitely endangered,600,-11.6219,166.9633,1
Yaminahua (Brazil),Vulnerable,600,-10.6606,-69.6972,1
Andoke,Severely endangered,597,-0.769,-72.2351,1
Southern Tlapanec,Severely endangered,592,16.7325,-98.6034,1
Orowe,Definitely endangered,587,-21.4223,165.4678,1
Mosetén,Severely endangered,585,-15.4113,-67.5,1
Chatong,Definitely endangered,580,15.65,107.1166,1
Norfolk-Pitcairn (Norfolk),Definitely endangered,580,-29.0225,167.9425,1
Nunatsiavummiutut,Definitely endangered,575,56.532,-61.7408,1
Shuswap,Definitely endangered,570,51.7886,-122.2286,1
Xaragure,Vulnerable,566,-21.8054,166.4964,1
Tapirapé,Vulnerable,564,-10.6606,-50.4602,1
Lacandón,Critically endangered,563,16.706,-91.0641,1
Zapotec of Zimatlán de Álvarez,Definitely endangered,562,16.8666,-96.7833,1
Chilcotin,Definitely endangered,560,52.031,-123.1678,1
Chácobo,Definitely endangered,550,-11.3454,-65.8135,1
Gao,Vulnerable,550,-8.3514,159.8167,1
Geme,Critically endangered,550,8.4941,20.6378,1
Karore,Vulnerable,550,-6.1542,149.8205,1
Yuhup (Colombia),Definitely endangered,550,-0.5493,-69.9169,1
Western Tlapanec,Vulnerable,549,17.4101,-99.2423,1
Hinukh,Definitely endangered,548,42.1801,45.977,1
Anuki,Definitely endangered,542,-9.6522,149.7656,1
Imeraguen,Definitely endangered,534,18.9166,-15.996,1
Narpa,Definitely endangered,533,28.7315,84.261,1
Akatek (Mexico),Vulnerable,532,16.7823,-93.1061,1
Naskapi,Vulnerable,525,54.903,-66.802,1
Archi,Definitely endangered,524,41.9839,46.8127,1
Yawanawá,Vulnerable,519,-10.8333,-70.0927,1
Raute,Severely endangered,518,28.9744,80.7969,1
Seri,Vulnerable,518,29.2333,-112.2,1
Western Popoloc,Severely endangered,516,18.4141,-98.0176,1
Yaqui (United States of America),Definitely endangered,510,32.1158,-111.0638,1
Kalapalo,Vulnerable,506,-12.1574,-53.2521,1
Nganasan,Severely endangered,505,72.816,91.582,1
Jakaltek (Mexico),Severely endangered,504,16.3137,-93.2084,1
Zapotec of San Antonino el Alto,Definitely endangered,504,16.8166,-97.0333,1
Purum,Critically endangered,503,24.3521,93.5925,1
Aheu,Definitely endangered,500,18.4333,104.5,1
Amahuaca,Severely endangered,500,-10.8764,-72.29,1
Anfillo,Critically endangered,500,8.5049,34.7415,1
Arbanasi,Severely endangered,500,44.0994,15.2545,1
Baniva,Severely endangered,500,2.8333,-67.5219,1
Bataan Ayta,Definitely endangered,500,14.4324,120.4788,1
Bats,Severely endangered,500,42.0982,45.0878,1
Black Mountain,Definitely endangered,500,27.1955,90.43,1
Busoa,Vulnerable,500,-5.5722,122.6074,1
Chong,Severely endangered,500,12.9506,102.0374,1
Domaaki,Severely endangered,500,36.0979,73.9627,1
Ganan,Severely endangered,500,24.2317,95.3778,1
Havasupai,Definitely endangered,500,36.2429,-112.6897,1
Kensiw (Thailand),Severely endangered,500,7.1712,99.7915,1
Khmin,Vulnerable,500,22.0469,100.8065,1
Khvarshi,Definitely endangered,500,42.3417,46.1212,1
Kundal Shahi,Definitely endangered,500,34.55,73.8833,1
Laghuu,Definitely endangered,500,23.6166,105.6833,1
Laha (Lao Cai),Definitely endangered,500,22.0333,103.75,1
Laha (Son La),Definitely endangered,500,21.4666,103.75,1
Langa,Severely endangered,500,6.5404,11.6427,1
Laxudumau,Vulnerable,500,-2.8922,151.2467,1
Majera,Critically endangered,500,11.3231,14.9839,1
Maliseet-Passamaquoddy,Severely endangered,500,44.9572,-67.0496,1
Mikasuki,Vulnerable,500,26.3202,-80.9877,1
Mlomp,Critically endangered,500,12.7421,-16.4904,1
Onin,Vulnerable,500,-2.9745,132.2383,1
Ormu,Vulnerable,500,-2.5136,140.6675,1
Palikur (French Guyana),Severely endangered,500,3.908,-51.9873,1
Pemon (Brazil),Vulnerable,500,4.664,-60.216,1
Quechua of Chachapoyas,Critically endangered,500,-6.2606,-77.7722,1
Samatu,Critically endangered,500,24.2105,98.9655,1
Seke,Vulnerable,500,28.9282,83.8249,1
Siona / Secoya (Colombia),Critically endangered,500,0.493,-76.2464,1
